train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,time/total_timesteps,train/reward,train/policy_loss,time/time_elapsed,time/fps,train/value_loss,time/iterations,train/std
99,-0.0009336471557617188,-42.541439056396484,0.0007,500,-57.55482,-950.0646362304688,5,99,1072.7823486328125,100,0.9992847442626953
199,0.06633591651916504,-42.55316162109375,0.0007,1000,12.076715,915.3406982421875,10,99,3432.26416015625,200,0.999631941318512
299,0.06157416105270386,-42.467987060546875,0.0007,1500,-87.56175,-1171.3992919921875,15,98,5242.5556640625,300,0.9968498945236206
399,0.19063466787338257,-42.435211181640625,0.0007,2000,7.747618,626.2775268554688,20,98,1861.833251953125,400,0.9957967400550842
499,-0.5391126871109009,-42.44715118408203,0.0007,2500,27.13497,875.7048950195312,25,97,514.1422119140625,500,0.9960769414901733
599,0.4232942461967468,-42.513771057128906,0.0007,3000,-18.309834,-2096.20654296875,30,98,2469.271484375,600,0.998150110244751
699,-0.022560834884643555,-42.48466873168945,0.0007,3500,-48.582333,2.6286988258361816,35,98,344.2113037109375,700,0.9972916841506958
799,-0.1607050895690918,-42.4954833984375,0.0007,4000,1.2184644,-3347.24951171875,40,98,8013.85693359375,800,0.9978063106536865
899,0.0802578330039978,-42.465843200683594,0.0007,4500,256.76746,-3185.350341796875,45,99,36416.60546875,900,0.9967142939567566
999,0.7245463132858276,-42.49150085449219,0.0007,5000,-0.43109152,-84.36546325683594,50,99,184.1221160888672,1000,0.9976831078529358
1099,0.336731493473053,-42.54905700683594,0.0007,5500,137.93489,-2751.910400390625,55,99,6629.66259765625,1100,0.9996678233146667
1199,0.7521008104085922,-42.501312255859375,0.0007,6000,9.397366,783.2868041992188,59,100,528.9776611328125,1200,0.9980503916740417
1299,0.5284773111343384,-42.43442916870117,0.0007,6500,123.2873,1152.3809814453125,64,101,2694.120361328125,1300,0.9959079027175903
1399,0.06469744443893433,-42.39017105102539,0.0007,7000,-135.68219,747.9406127929688,68,101,6219.732421875,1400,0.9942194819450378
1499,0.34283095598220825,-42.40044403076172,0.0007,7500,2.5335743,-198.7288818359375,73,101,192.81663513183594,1500,0.9948897957801819
1599,0.16921710968017578,-42.38534164428711,0.0007,8000,135.44818,1784.7203369140625,78,101,9447.2734375,1600,0.9942185878753662
1699,0.3331031799316406,-42.35965347290039,0.0007,8500,9.0077715,2391.672119140625,83,101,11455.888671875,1700,0.9935181736946106
1799,0.24963873624801636,-42.31572341918945,0.0007,9000,221.64772,-4603.0146484375,88,101,31424.828125,1800,0.9921648502349854
1899,0.8392341732978821,-42.27237319946289,0.0007,9500,372.979,-16218.28125,93,101,136561.5625,1900,0.9905979633331299
1999,0.4995434880256653,-42.1898078918457,0.0007,10000,-50.373173,352.7780456542969,98,101,221.02786254882812,2000,0.9879397749900818
2099,-0.04380178451538086,-42.226985931396484,0.0007,10500,-0.8689607,1857.423583984375,104,100,3450.42529296875,2100,0.9892040491104126
2199,0.7079979777336121,-42.211631774902344,0.0007,11000,130.78484,-126.3291015625,109,100,2754.793212890625,2200,0.9886291027069092
2299,0.3574288487434387,-42.264644622802734,0.0007,11500,-6.9966984,-1555.3253173828125,114,100,13151.689453125,2300,0.9905394911766052
2399,0.35778260231018066,-42.22708511352539,0.0007,12000,-511.13303,3009.00634765625,119,100,28010.912109375,2400,0.9889474511146545
2499,0.918071947991848,-42.24085998535156,0.0007,12500,0.6485365,-734.2508544921875,124,100,363.4305419921875,2500,0.9895961880683899
2599,0.28994399309158325,-42.249427795410156,0.0007,13000,-380.62338,4998.7978515625,129,100,30632.87890625,2600,0.989814817905426
2699,0.039569079875946045,-42.234031677246094,0.0007,13500,264.96057,-7469.7255859375,134,100,67620.296875,2700,0.9898760914802551
2799,0.4155192971229553,-42.23861312866211,0.0007,14000,-272.6632,5253.951171875,139,100,33310.34765625,2800,0.9898132085800171
2899,0.31125450134277344,-42.23644256591797,0.0007,14500,141.17656,4841.6123046875,144,100,53059.4765625,2900,0.9899137616157532
2999,0.13387960195541382,-42.20074462890625,0.0007,15000,-49.869194,963.22021484375,149,100,1231.5184326171875,3000,0.9887868165969849
3099,-1.0945613384246826,-42.1728630065918,0.0007,15500,-26.125183,-2167.30712890625,155,99,4945.55712890625,3100,0.9877973198890686
3199,0.8422549217939377,-42.19133758544922,0.0007,16000,187.71841,-9220.880859375,160,99,46157.36328125,3200,0.9883832335472107
3299,0.3752109408378601,-42.21910858154297,0.0007,16500,251.05348,-3487.18017578125,165,99,25143.439453125,3300,0.989357590675354
3399,0.43876612186431885,-42.20897674560547,0.0007,17000,10.835852,5880.08984375,170,99,55525.29296875,3400,0.9888681769371033
3499,0.1324191689491272,-42.237632751464844,0.0007,17500,56.687225,1941.233154296875,174,100,2711.184814453125,3500,0.9899455308914185
3599,0.4500335454940796,-42.2551155090332,0.0007,18000,176.9102,775.236328125,179,100,8945.42578125,3600,0.9904391765594482
3699,0.5798347592353821,-42.20671081542969,0.0007,18500,3.0203972,104.5368423461914,184,100,6451.943359375,3700,0.9887512922286987
